Lieu,Latitude,Longitude,Icon,Color

Lille,50.6251183,3.06353,bicycle,green

Croix,50.6802124,3.1564365,bicycle,blue

Villeneuve,50.620697021484375,3.131497621536255,bicycle,red

Hem, 50.6540895,3.1839429,bicycle,gray
